name	pname	cityname	adname	address	location	lng	lat	rating	cost
茅溪老火锅青椒鱼	重庆市	重庆市	江北区	金渝大道136号康馨园13栋三单元1-4	106.580414,29.620228	106.55766585007548	29.574639200882807	4.0	64.00
麻辣无情重庆老火锅(花园路)	重庆市	重庆市	江北区	渝澳大道68号黄桷园15号附2号(奔驰4S店旁)	106.522655,29.575852	106.55766585007548	29.574639200882807	4.5	61.00
渝舍德明火锅	重庆市	重庆市	江北区	大兴村加油站长安厂富强二村2-1号(建行、工行对面)	106.546958,29.572422	106.55766585007548	29.574639200882807	4.0	59.00
品健老灶火锅(洋河总店)	重庆市	重庆市	江北区	洋河二村73号附5-6号	106.533521,29.583995	106.55766585007548	29.574639200882807	4.0	78.00
渝都老火锅(总店)	重庆市	重庆市	江北区	建新东路,大兴村三纲二路29.31.33号负4层2号	106.541717,29.570963	106.55766585007548	29.574639200882807	3.5	59.00
那地方知青火锅(金源路)	重庆市	重庆市	江北区	金源路68号附15号	106.529755,29.563219	106.55766585007548	29.574639200882807	3.5	54.00
老五一火锅(总店)	重庆市	重庆市	江北区	九街东区1层	106.544740,29.578990	106.55766585007548	29.574639200882807	5.0	92.00
等等老火锅(洋河一路)	重庆市	重庆市	江北区	洋河一路洋河村18号附45号	106.530245,29.581383	106.55766585007548	29.574639200882807	5.0	85.00
愉快老火锅(万丰一路)	重庆市	重庆市	江北区	万丰27-12号五里店灯饰城背后小路上黄泥村164-1号	106.561869,29.575525	106.55766585007548	29.574639200882807	4.5	62.00
草根老火锅(盘溪路)	重庆市	重庆市	江北区	金科十年城481号	106.481862,29.608299	106.55766585007548	29.574639200882807	3.5	68.00
王少龙火锅(观音桥店)	重庆市	重庆市	江北区	建北三支路8号港华综合楼B2层	106.532137,29.578438	106.55766585007548	29.574639200882807	4.0	93.00
南山老火锅(观音桥星光68店)	重庆市	重庆市	江北区	建北三支路21号附8号	106.532633,29.578972	106.55766585007548	29.574639200882807	4.0	70.00
坝坝火锅鱼	重庆市	重庆市	江北区	建新东路36附35号	106.542640,29.572055	106.55766585007548	29.574639200882807	3.0	21.00
小红串串	重庆市	重庆市	江北区	电测村82号附1号	106.528098,29.577853	106.55766585007548	29.574639200882807	3.5	[]
院坝火锅	重庆市	重庆市	江北区	茶园长安家属区(近长安医院)	106.550680,29.577153	106.55766585007548	29.574639200882807	3.5	66.00
莽子火锅(珠江太阳城店)	重庆市	重庆市	江北区	北滨路珠江太阳城B区建设银行下行50米	106.561369,29.571776	106.55766585007548	29.574639200882807	3.5	93.00
四合院老火锅	重庆市	重庆市	江北区	北滨路金砂水岸餐饮街75号	106.529007,29.556438	106.55766585007548	29.574639200882807	4.0	63.00
顾家院子老火锅(南桥寺店)	重庆市	重庆市	江北区	南桥寺春城雅云轩552号(江北永辉城市广场)	106.485381,29.590240	106.55766585007548	29.574639200882807	4.0	77.00
中华老火锅	重庆市	重庆市	江北区	金渝大道136号附15号	106.581362,29.620826	106.55766585007548	29.574639200882807	3.5	53.00
岗上渣渣老火锅(珠江太阳城店)	重庆市	重庆市	江北区	北城二路51-53号	106.561859,29.571799	106.55766585007548	29.574639200882807	4.0	80.00
重庆渔满堂(石马河店)	重庆市	重庆市	江北区	松石大道与石马立交交叉口东南150米	106.473452,29.580440	106.55766585007548	29.574639200882807	3.5	40.00
桃花源北城串串香(总店)	重庆市	重庆市	江北区	兴隆路5号附3号(北城天街花市十字路口右转往塔平方向)	106.539397,29.579051	106.55766585007548	29.574639200882807	4.5	47.00
红板凳火锅(对山立交)	重庆市	重庆市	江北区	大湾南方上格林紫微园19号附38号	106.569622,29.579222	106.55766585007548	29.574639200882807	5.0	82.00
上码头老火锅(盘溪五支路)	重庆市	重庆市	江北区	南桥峰景园2号小天鹅花园附近	106.477983,29.585733	106.55766585007548	29.574639200882807	3.5	[]
山水阁鲜菜火锅(望江店)	重庆市	重庆市	江北区	郭家沱山涧水岸11号附27号2层	106.681844,29.574883	106.55766585007548	29.574639200882807	3.5	60.00
唐幺妹火锅店	重庆市	重庆市	江北区	海尔路187号中亿阳明山水小区旁	106.571476,29.606566	106.55766585007548	29.574639200882807	3.5	49.00
无敌爷爷水八块老火锅(太阳城店)	重庆市	重庆市	江北区	北城二路49号	106.561879,29.571816	106.55766585007548	29.574639200882807	4.5	79.00
渝辣记火锅米线	重庆市	重庆市	江北区	金沙门路56号财信广场2楼26号	106.571613,29.571463	106.55766585007548	29.574639200882807	3.5	19.00
土炮李记串串香(江北店)	重庆市	重庆市	江北区	桥北路2号附3号	106.562919,29.581031	106.55766585007548	29.574639200882807	3.5	64.00
渝宗老灶火锅(东原店)	重庆市	重庆市	江北区	大石坝东原d7红原路113号附30号	106.499228,29.568006	106.55766585007548	29.574639200882807	3.5	79.00
林记潮汕牛肉(星悦荟店)	重庆市	重庆市	江北区	北滨一路258号龙湖星悦荟5区1层	106.547027,29.569662	106.55766585007548	29.574639200882807	4.5	104.00
佘记德哥火锅	重庆市	重庆市	江北区	海尔路1027号附1号-附3号	106.659594,29.606444	106.55766585007548	29.574639200882807	3.5	44.00
渝嘴小老弟老火锅(总店)	重庆市	重庆市	江北区	华唐路华新村221号	106.533733,29.565759	106.55766585007548	29.574639200882807	5.0	74.00
和生金火锅城	重庆市	重庆市	江北区	唐家沱东风一村89号附近	106.646257,29.597859	106.55766585007548	29.574639200882807	3.5	[]
记忆年代老火锅(洋河店)	重庆市	重庆市	江北区	洋河一路53号(洋河一路与洋河二路交叉口)	106.529944,29.582223	106.55766585007548	29.574639200882807	4.5	83.00
牛少爷精品老火锅	重庆市	重庆市	江北区	保利江上明珠	106.509469,29.571452	106.55766585007548	29.574639200882807	3.5	[]
幺点子全牛油老火锅(大石坝店)	重庆市	重庆市	江北区	红石路美足百货对面	106.491818,29.568594	106.55766585007548	29.574639200882807	4.0	72.00
饿狼串说牛肉串串专家(九街店)	重庆市	重庆市	江北区	北城天街九街东区2层星巴克楼上	106.545120,29.579597	106.55766585007548	29.574639200882807	4.5	67.00
土豆腐梭边鱼·笑禅老火锅	重庆市	重庆市	江北区	五江路14附20号附21号	106.564672,29.577755	106.55766585007548	29.574639200882807	4.5	74.00
刘一手心火锅(四楼时尚店)	重庆市	重庆市	江北区	观音桥金鹏北城旺角C栋4层	106.528582,29.573648	106.55766585007548	29.574639200882807	4.5	83.00
渝泓道鲜货火锅(金科十年城店)	重庆市	重庆市	江北区	金科10年城7号附5号	106.483781,29.610746	106.55766585007548	29.574639200882807	3.5	58.00
最火老火锅(总店)	重庆市	重庆市	江北区	嘉陵一村151-2号(观音桥家乐福车站、肯德基对面上行100米)	106.532751,29.569832	106.55766585007548	29.574639200882807	4.5	68.00
周三老火锅(北城栖院北)	重庆市	重庆市	江北区	洋河三路洋河二村2号附9号(满堂红西门对面)	106.532236,29.583708	106.55766585007548	29.574639200882807	4.5	62.00
重庆渝喜火锅(爱丁堡店)	重庆市	重庆市	江北区	观音桥渝奥大道爱丁名苑13号大门口(儿童公园附近)	106.521045,29.577949	106.55766585007548	29.574639200882807	4.0	61.00
好望角老火锅	重庆市	重庆市	江北区	金果园小区1号附20号	106.487507,29.579721	106.55766585007548	29.574639200882807	3.5	66.00
喜双精品鲜菜老火锅	重庆市	重庆市	江北区	鱼嘴拓新时代老四川楼下	106.754653,29.628365	106.55766585007548	29.574639200882807	3.5	[]
老潮来了正宗潮汕牛肉火锅(北城二路店)	重庆市	重庆市	江北区	北滨二路54号	106.561400,29.571858	106.55766585007548	29.574639200882807	4.0	85.00
燕子火锅店(国兴北岸江山西)	重庆市	重庆市	江北区	建新西路华宇北国风光小区399号	106.511176,29.559736	106.55766585007548	29.574639200882807	4.0	59.00
守福胖子火锅(华唐路)	重庆市	重庆市	江北区	华唐路220号	106.533949,29.565873	106.55766585007548	29.574639200882807	4.0	71.00
母铁锅老火锅	重庆市	重庆市	江北区	海尔路6号巴蜀城3栋附11号	106.562275,29.587838	106.55766585007548	29.574639200882807	4.5	55.00
瑞君香巴适串串超市	重庆市	重庆市	江北区	建北三支路8号港华综合楼	106.532356,29.578756	106.55766585007548	29.574639200882807	5.0	57.00
伯虎老火锅(鸿恩寺店)	重庆市	重庆市	江北区	鸿恩路515号	106.513012,29.573463	106.55766585007548	29.574639200882807	4.0	87.00
亮点烧鸡公老火锅	重庆市	重庆市	江北区	大石坝石门齐祥灯饰东海岸北滨一路546号附33号	106.484205,29.562209	106.55766585007548	29.574639200882807	3.5	40.00
好巷子火锅	重庆市	重庆市	江北区	观音桥建北一村28号附12号附14号	106.523501,29.581686	106.55766585007548	29.574639200882807	3.5	47.00
八秒老火锅(龙山路)	重庆市	重庆市	江北区	龙山街道龙山路194号南桥静月1幢1-3	106.487471,29.590202	106.55766585007548	29.574639200882807	4.0	52.00
灌县老妈砂锅串串(重庆冉家坝店)	重庆市	重庆市	江北区	龙山街道百灵路91号(879终点站对面)	106.488551,29.583225	106.55766585007548	29.574639200882807	3.5	55.00
福玖火锅自助(观音桥店)	重庆市	重庆市	江北区	建新东路28附18号光宇阳光海岸2层	106.540156,29.573570	106.55766585007548	29.574639200882807	3.5	47.00
金砂乌鱼府汤锅	重庆市	重庆市	江北区	滨江路368号金源时代购物广场灯巢入口5楼	106.524887,29.556711	106.55766585007548	29.574639200882807	3.5	72.00
川妹子青椒鱼	重庆市	重庆市	江北区	金渝大道136号康兴园8栋2单	106.580775,29.620681	106.55766585007548	29.574639200882807	3.5	54.00
杀牛场毛肚火锅	重庆市	重庆市	江北区	北城二路25号(近珠江太阳城)	106.562168,29.572631	106.55766585007548	29.574639200882807	3.5	65.00
毛儿老火锅(大顺商厦西北)	重庆市	重庆市	江北区	大石坝八村18号附1号	106.488030,29.570122	106.55766585007548	29.574639200882807	4.5	63.00
重庆鼻祖老火锅	重庆市	重庆市	江北区	五里店北滨路珠江太阳城58号	106.564595,29.570697	106.55766585007548	29.574639200882807	3.5	93.00
